COMMON NAME,OBSERVATION COUNT,STATE,STATE CODE,COUNTY,COUNTY CODE,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,GROUP IDENTIFIER,APPROVED,SPECIES COMMENTS
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD1,L35328939,P,-42.7723121,172.0581838,2021-02-17,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD1,L35328939,P,-42.7723121,172.0581838,2021-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD2,L35328830,P,-42.7710791,172.0615639,2021-02-17,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD4,L35328943,P,-42.7710873,172.0669787,2021-02-18,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD2,L35328830,P,-42.7710791,172.0615639,2021-02-18,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD22,L35328940,P,-42.774628,172.04859,2021-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD10,L35328831,P,-42.774035,172.056373,2021-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD20,L35328941,P,-42.772794,172.054928,2021-02-18,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD15,L35328942,P,-42.777096,172.042183,2021-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD20,L35328941,P,-42.772794,172.054928,2021-02-17,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD14,L35329015,P,-42.434851,172.297447,2022-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD10,L35329016,P,-42.430259,172.300371,2022-02-18,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD13,L35328876,P,-42.438691,172.296525,2022-02-18,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2022-02-21,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2022-02-18,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2022-02-21,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD16,L35329024,P,-42.431229,172.306361,2022-02-21,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2022-02-20,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD10,L35329016,P,-42.430259,172.300371,2022-02-20,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD18,L35328833,P,-42.773181,172.048968,2022-03-08,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD15,L35328942,P,-42.777096,172.042183,2022-03-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD7,L35329035,P,-42.7706259,172.0546402,2022-03-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD8,L35328944,P,-42.7702118,172.0579345,2022-03-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD2,L35328830,P,-42.7710791,172.0615639,2022-03-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD10,L35328831,P,-42.774035,172.056373,2022-03-09,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2023-02-11,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD18,L35329057,P,-42.4240444,172.3051052,2023-02-11,,1.0,
South Island Wren,5.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD10,L35329016,P,-42.430259,172.300371,2023-02-12,,1.0,
South Island Wren,4.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2023-02-12,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD13,L35328876,P,-42.438691,172.296525,2023-02-12,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2023-02-12,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD16,L35329024,P,-42.431229,172.306361,2023-02-12,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD14,L35329015,P,-42.434851,172.297447,2023-02-11,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD16,L35329024,P,-42.431229,172.306361,2023-02-11,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,"Canterbury, NZ (-42.674, 171.956)",L28891845,P,-42.6737278,171.9557986,2024-01-12,,1.0,Pair seen clearly and photographs taken
South Island Wren,4.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2024-02-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD9,L35328837,P,-42.772784,172.056404,2024-02-20,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD13,L35328876,P,-42.438691,172.296525,2024-02-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD20,L35328941,P,-42.772794,172.054928,2024-02-20,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD8,L35328944,P,-42.7702118,172.0579345,2024-02-21,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2024-02-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD19,L35329084,P,-42.4233677,172.3093671,2024-02-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD3,L35328836,P,-42.7729751,172.064359,2024-02-20,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD1,L35328939,P,-42.7723121,172.0581838,2024-02-20,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD16,L35329024,P,-42.431229,172.306361,2024-02-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD5,L35329089,P,-42.7682152,172.0659462,2024-02-22,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD10,L35329016,P,-42.430259,172.300371,2024-02-09,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD17,L35329083,P,-42.4236628,172.3015965,2024-02-07,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD10,L35328831,P,-42.774035,172.056373,2024-02-20,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2024-02-09,,1.0,
South Island Wren,4.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2024-02-08,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD17,L35329083,P,-42.4236628,172.3015965,2024-02-08,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Aurthur's Pass to Otira River valley,L11336344,P,-42.8979022,171.5550584,1940-11-10,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Waimakariri, Opp Taipoiti",L1490870,P,-42.9614674,171.4333958,1950-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Amber Col,L1490873,P,-42.9114727,171.6796404,1950-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Temple Basin, Arthurs Pass",L1490879,P,-42.9065761,171.5868496,1951-12-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Codger's Col on both the Edward's side, and the Discovery Creek side, Hawdon Valley.",L1490975,P,-42.9126029,171.6956616,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Occasionally on steep ground  on the west side above the bush line (compared to above).,L1490973,P,-42.944135,171.6435827,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,The basin of Rough Creek above the waterfalls and near the bushline,L1490938,P,-42.9500342,171.5488966,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Head of the Bealey under Rolleston (less common),L1490935,P,-42.9114331,171.52966,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Common on the grand traverse of Mt Avalanche, leading straight down to Crow Hut.",L1490936,P,-42.9425395,171.5331427,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Final Pyramid of Mt Avalanche,L1490937,P,-42.9423168,171.5368244,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Edwards,L1490974,P,-42.9440654,171.6452999,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007; especially opposite hut and up the stream at the top of the fan 0.5 km upstream usually near the top of the subalpine scrub.
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"West Crow' the largest tributary on the western side, half way down from the hut to the grass up the Crow fan.",L1490930,P,-42.9582867,171.5116827,1957-01-01,,1.0,"Data from Michelsen-Heath & Gaze 2007, Nest on a wall of an avalanche chute, in view of what Dick calls the"
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Over the ridge in Agility Creek, there is a 1 acre basin with many large erratics.",L1490970,P,-42.9180162,171.6018985,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Often about the waterfall on the gully descent to the Crow, and on either side.",L1490934,P,-42.9487875,171.5254559,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Further down Agility Creek sidling well above on the NE side 100' or so aboove the bushline.,L1490972,P,-42.9217104,171.6057957,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Where the gully bursts out to the fan nearly opposite (Crow) hut.,L1490933,P,-42.9443889,171.5229881,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Below and by the Waimakariri falls  bivy, but above the waterfall",L1490928,P,-42.9173626,171.4875015,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Head of the Punchbowl Creek in the couloirs climbing to cross into Agility Creek.,L1490971,P,-42.9229959,171.6041739,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Nest found on a small rib above and North of the waterfall (on the crow).,L1490931,P,-42.9518674,171.5130641,1957-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Crow Valley, Arthurs Pass, pair maintained a territory for 1 month",L1490977,P,-42.9257961,171.5194537,1957-02-03,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Mt Avalanche, Crowe Valley",L1490985,P,-42.9424937,171.5365751,1958-10-04,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Agility Creek, Mingha Valley - feeding on nectar of Phormium colensoi",L1491032,P,-42.9264845,171.6059936,1966-02-13,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Agility Creek, Mingha Valley",L1491031,P,-42.9202057,171.6042374,1966-02-13,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin,L1491112,P,-42.9119091,171.5669455,1973-01-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Avalanche Peak, Apnp",L1491114,P,-42.9468564,171.553874,1973-01-19,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Upper Otira,L1491120,P,-42.944647,171.5220627,1973-12-27,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Below Mt Rolleston,L1491233,P,-42.9079391,171.5171284,1976-12-06,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Otira Valley,L1491211,P,-42.9122451,171.5228425,1976-12-06,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Arthurs Pass, mod.c. on steep faces an avalanche gullies above bushline",L1491241,P,-42.9083362,171.5165064,1977-01-01,,1.0,"Data from Michelsen-Heath & Gaze 2007: seen only in summer, in autumn can be found in alpine scrub"
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Head of Tapoiti Gorge under Harman Pass in the headwaters of the Waimakariri, 4000'",L1491343,P,-42.9396329,171.423537,1978-01-21,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Omatane gl. Head of N. Mathias River, fresh moraine. 4300'",L1491437,P,-43.0760658,171.1864276,1979-02-10,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"On rocky ridge above CMC Hut, Temple Basin, 4500'",L1491489,P,-42.9076768,171.5812516,1980-01-30,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Upper Otira,L1491483,P,-42.9122451,171.5228425,1980-01-08,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Upper Otira,L1491478,P,-42.9122451,171.5228425,1980-01-05,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin,L1491482,P,-42.9119091,171.5669455,1980-01-06,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Otira Face,L1491581,P,-42.9119405,171.4995774,1981-01-17,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Cons Track,L1490715,P,-42.9452268,171.5673931,1981-10-25,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Waimak Col, also seen in wet bluffs under Carrington",L1490721,P,-42.9139631,171.4756423,1981-12-25,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Waimak Col, 4000' plus  wet bluffs 50m from hut",L1490722,P,-42.915912,171.486741,1981-12-25,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Before Barker Hut,L1490732,P,-42.9941522,171.3884063,1982-01-10,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Bealey Slide,L1490747,P,-42.9122451,171.5228425,1982-03-29,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Avalanche Peak,L1490820,P,-42.944647,171.5220627,1983-02-17,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Upper Otira Valley,L1490942,P,-42.9122451,171.5228425,1983-04-17,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Mingha Side Of Temple Col,L1490948,P,-42.9121999,171.590211,1983-11-27,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Mt Bowen,L1490953,P,-42.9445177,171.6568707,1984-01-15,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin,L1490955,P,-42.9119091,171.5669455,1984-01-21,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Goat Pass Hut,L1490951,P,-42.9115709,171.6122726,1984-01-09,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin skifield,L8236448,P,-42.9092344,171.5776144,1984-10-15,,1.0,1 bird in scree and rocks
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Otira Valley,L1491211,P,-42.9122451,171.5228425,1984-11-17,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,White River,L5698369,P,-42.9867685,171.4014226,1984-12-11,,1.0,I saw a Rockwren with the typical bobbing behaviour on a rock terrace above the gorge swing bridge --over the White River in Arthur's Pass NP about midday on 11 December 1984.
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,North Mathias River,L1491277,P,-43.0847445,171.1858016,1984-12-29,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Waimak Falls Hut,L1491530,P,-42.9180949,171.4884022,1986-01-22,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Waimak Falls Hut,L1491530,P,-42.9180949,171.4884022,1986-01-18,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Arthurs Pass, Waimak Trk",L1491543,P,-42.9207624,171.4858864,1986-02-02,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Avalanche Peak,L1490588,P,-42.944647,171.5220627,1986-12-31,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Arthurs Pass, Upper Otira",L1490587,P,-42.9122451,171.5228425,1986-12-10,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Avalanche Peak,L1490588,P,-42.944647,171.5220627,1987-01-06,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Avalanche Peak,L1490588,P,-42.944647,171.5220627,1987-02-27,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Browning Pass,L1490611,P,-42.96076,171.3206373,1987-02-26,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Upper Otira Valley,L1490754,P,-42.9122451,171.5228425,1987-09-06,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,"Arthurs Pass, Cons Track",L1490755,P,-42.944947,171.5453403,1987-10-26,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Otira Valley,L1490768,P,-42.9122451,171.5228425,1988-04-07,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin,L1490769,P,-42.9119091,171.5669455,1988-08-31,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Temple Basin,L1490769,P,-42.9119091,171.5669455,1988-12-11,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,White River,L1490784,P,-42.9941522,171.3884063,1989-01-26,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Selwyn District,NZ-CAN-062,Page Shelter,L1490778,P,-42.9119091,171.5669455,1989-01-16,,1.0,Data from Michelsen-Heath & Gaze 2007
