POLITICAL_UNIT,NAME,WGMS_ID,EVENT_ID,EVENT_DATE,ET_SURGE,ET_CALVING,ET_FLOOD,ET_AVALANCHE,ET_TECTONIC,ET_OTHER,EVENT_DESCRIPTION,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AR,HORCONES INFERIOR,919,52,19849999,True,False,False,False,False,False,"The Horcones Inferior glacier is located at 32º40' S latitude and 70º00' W longitude at the south wall of the Cerro Aconcagua (6959 m), the highest peak in the Westhern Hemisphere. It is a valley glacier covered by debris exhibiting thermokarst features, that flows to the southeast for about 11 km and is 500–700 m wide. Based on the image of December 24, 1984, a wave of ice free of supraglacial drift advanced 6,100 m from the head of the glacier at an altitude of 5,350 m a.s.l. The glacier front motion probably started in 1984. On the image of February 22, 1986 the glacier surge advanced 3,675 m between 1984 and 1986 and reached a lower topographic position (100 m) than it did in 1976 (Unger and others 2000).",,,"Happoldt H. and Schrott, L. in: WGMS (1993): FoG 1985-1990 (Vol. VI). Unger C., Espizua L. E. And Bottero, R. In: WGMS (2005): FoG 1995-2000 (Vol. VIII).","The potential hazard of the Horcones Inferior glacier surge damming the river does not seem likely because it flows to the southeast along the Horcones Inferior valley, and its terminus does not join with a tributary glacier."
AR,HORCONES INFERIOR,919,174,20040209,True,False,False,False,False,False,"The Horcones Inferior glacier is located at 32º40’S latitude and 70º00’W longitude at the south wall of Cerro Aconcagua (6959 m a.s.l.), the highest peak in the Western Hemisphere. It is a valley glacier covered by debris with thermokarst features, that fl ows to the southeast. Between 1963 and 1984 the glacier front position did not show signifi cant changes. The glacier surged between 1984 and 1986 and stopped in 1989. It was about 10.5 km long between 1990 and 1997. From 1997 to 1999 the glacier retreated 130 m based on fi eld observations (Happold and Schrott 1993, Unger et al. 2000, 2005). A new surge event started in 2004. The evolution of the surge front was detected through analysis of Landsat images and fi eld observations. We cannot establish the exact start of the surge, but on the image of 13 February, 2003, in the upper part of the glacier at 4175 m a.s.l., a partly debris-covered ice wave advanced 320 m with respect to 10 February, 1999. Between the images of 13 February, 2003, and 8 February, 2004, this ice wave advanced 5140 m with a mean velocity of 14.3 m per day on the debris-covered glacier. It reached an altitude of 3910 m a.s.l., 360 m upstream from the stable front position of the glacier. On the image of 25 January, 2005, the surge advanced another 3000 m with a mean velocity of 8.5 m per day, fi nally advancing the glacier front position. The satellite image of 28 January, 2006, shows that the surge front advanced another 440 m with a mean velocity of 1.2 m per day.",,,"Happoldt H. and Schrott, L. in: WGMS (1993): FoG 1985-1990 (Vol. VI). Unger C., Espizua L. E. And Bottero, R. In: WGMS (2005): FoG 1995-2000 (Vol. VIII).","Satellite image data was processed by Pierre Pitte. Field work and GPS measurements was done by Fabián Díaz, Pablo Lizana. Earlier events were studied by Unger et al (2000; 2005) and published in Zeitschrift für Gletscherkunde und Glazialgeologie and FoG VIII respectively."
AR,INNOMIATE,8167,590,19919999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""... during the 5 years from 1986 to 1991 it has experienced a significant advance. If the bare ice is considered as the front, the advance was approximately 550-600m; alternatively, if the position is the one that appears as debris-covered glacier in 1986, and partly bare ice in 1991, the advance is 2900m. This distance, together with the reflectance pattern on the satellite image, would suggest that the glacier is experiencing a surge."" LRE1995 ""The glacier Innomiate advanced 2,900m between 1986 and 1991 (Llorens and Leiva, in Press)."" CG1998",,,"Event description, Surge Diagnostic features and index based on LRE1995, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",surge onset: 1986
AR,LAGUNA,8164,1150,19829999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""The terminus of Glaciar Laguna in the Rio Atuel Valley advanced 1400m between 1970 and 1982"" ELE1986 ""Glaciar de la Laguna, which advanced 1400m between 1970 and 1972 in what is considered a surging event (Cobos and Boninsegna, 1983)"" LQC2009 ""Glaciar Laguna (...) advanced ca 1400m sometime between 1970 and 1982 (Cobos and Boninsegna, 1983). The magnitude of change and the fact that most glaciers in the basin retreated over this interval suggest that this recent Glacier Lagunar advance is probably a surging event."" MMH2009 ""Another mass of ice deserving attention is the Laguna valley. It is noteworthy that from 1970 to 1982 the glacial tongue advanced about 1400m, which is cause for conjecture that there may be a surging mechanism not yet studied in this region of the Andes. The advance of this glacier is an exception, since nearly all the ice masses at these latitudes are decreasing in mass."" CDR1983 Listed as ""surge?"" in table p262 based on aerial photos and/or satellite imagery in MMH2009",,,"Event description, Surge Diagnostic features and index based on ELE1986, LQC2009, MMH2009, CDR1983. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",surge onset: 1970
AR,LAS LENAS,10456,3429,20070399,False,False,False,True,True,False,Before march 2007 an estimated 4.5 millon m3 rockfall/avalanche left a deposit on Las Leñas glacier.,Daniel Falaschi,IANIGLA-CONICET,Falaschi et al. 2018. TCD. 10p.,
AR,MANSO,1345,3449,20090599,False,False,True,False,False,False,"In May 2009, a GLOF took place in Manso Glacier in lake Ventisquero Negro. The outburst volume was 10.00 * 10^6 m^3/s. The discharge peak was 4100.00 m^3/s. The GLOF was probably triggered by high precipitation.",Stephan Harrison et al.,"University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Harrison, S. et al. (2018); Climate change and the global pattern of moraine-dam glacial lake outburst floods, The Cryosphere, (12), 1195-1209 p.",The data come from Worni and others (2011) and Iribarren Anacona and others (2014).
AR,MARTIAL ESTE,2000,4866,20200407,False,False,False,False,True,False,"On April 7, 2020 a large rock fall covered in rock debris a quarter of Martial East's surface. Although there were no human deaths, several stakes and other monitoring devices were destroyed.",Rodolfo Iturraspe,"Instituto de Ciencias Polares, Ambiente y Recursos Naturales. Universidad Nacional de la Tierra del Fuego. Ushuaia, Argentina",,
AR,MORENO,920,3450,19179999,False,False,True,False,False,False,"Between 1917 and 2012, 24 GLOFSs place in Moreno glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,MORENO,920,3451,19539999,False,False,True,False,False,False,"In 1953, a GLOF took place in Moreno glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,MORENO,920,3452,19569999,False,False,True,False,False,False,"In 1956, a GLOF took place in Moreno glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,MORENO,920,3453,19669999,False,False,True,False,False,False,"In 1966, a GLOF took place in Moreno glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,NEVADO DEL PIUQUENES EAST GLACIER,8172,595,19979999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""... the east glacier of Nevado de los Piuquenes was found to be surging in January 1997 (A. Aristarain, oral communication."" IAHS1999",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,PENON,2850,3427,20181214,False,False,False,False,True,False,Between 14/12/2018 and 15/01/2018 eruptive activity was reported on Peteroa volcano with ash and vapor column 400-1300 high. The plume was mainly oriented SE and the deposit area reaches up to 20 km.,"Pierre Pitte, Laura Zalazar",IANIGLA-CONICET,,
AR,PIEDRAS BLANCAS,3716,3454,19131216,False,False,True,False,False,False,"On December 16, 1913 a GLOF took place in Piedras Blancas glacier.",Jonathan L. Carrivick and Fiona S. Tweed; Stephan Harrison et al.,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK; University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Carrivick & Tweed (2016), Global and Planetary Change, 144, pp. 1-16.; Harrison, S. et al. (2018), The Cryosphere 12.4 (2018): 1195-1209.",The data comes from Iribarren Anacona and others (2014).
AR,RIO MUSEO (DEL RIO),8168,591,19359999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""In Chile and Argentina there are several cases of surging glaciers (...) near Santiago (Juncal Sur, Museo and Colina)."" CG1998 ""Surging glaciers have been reported by Lliboutry (1956) for Glacier Nieves Negras Chileno (Southwest of Volcan San Jose) in 1927, Glaciar del Rio in 1935,..."" IAHS1999",,,"Event description, Surge Diagnostic features and index based on CG1998, IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,UNNAMED 31794,31794,3455,20090521,False,False,True,False,False,False,"On May 21, 2009 a GLOF took place in Unnamed 31794 glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,UNNAMED GLACIER EAST/NORTHEAST OF CERRO ALTO,8174,1153,19469999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado), for the east glacier of Cerro Marmolejo, and for the unnamed glacier east-northeast of Cerro Alto. In the last case, a photograph taken by Luis Krahl from Cerro Alto in 1946 seems to indicate that the main glacier was surging at the time."" IAHS1999",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,VIEDMA,29109,3430,20181020,False,False,False,False,True,False,"Before 20/10/2018 rockfall fell from the Mariano Moreno mountain range on a section of upper Viedma glacier, the deposit is 3.5 km long.","Pedro Skvaca, Pierre Pitte","Glaciarium, IANIGLA-CONICET",,
