POLITICAL_UNIT,NAME,WGMS_ID,REC_SERIES_ID,YEAR,YEAR_UNC,REFERENCE_YEAR,REF_YEAR_UNC,FRONT_VARIATION,QUALITATIVE_VARIATION,FRONT_VAR_POS_UNC,FRONT_VAR_NEG_UNC,LOWEST_ELEVATION,HIGHEST_ELEVATION,ELEVATION_UNC,MORAINE_DEFINED_MAX,METHOD_CODE,METHOD_REMARKS,REMARKS
AR,FRIAS,1347,11,1987,0.0,1986,0.0,-115.0,,25.0,25.0,,,,,OTH,Glacier front position identified in 1987 Landsat image,
AR,FRIAS,1347,11,2003,0.0,1987,0.0,-405.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2003 ASTER image,
AR,FRIAS,1347,11,2007,0.0,2003,0.0,-102.0,,25.0,25.0,,,,,OTH,Glacier front position identified in 2007 Landsat image,
AR,FRIAS,1347,11,2009,0.0,2007,0.0,-156.0,,10.0,10.0,,,,,OTH,Glacier front position identified in 2009 Ikonos image,
AR,LAGO DEL DESIERTO I,3713,12,1740,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; ecesis correction
AR,LAGO DEL DESIERTO I,3713,12,1901,15.0,1740,30.0,-180.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO I,3713,12,1905,15.0,1901,15.0,-20.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO I,3713,12,1984,0.0,1905,15.0,-480.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,LAGO DEL DESIERTO I,3713,12,2005,0.0,1984,0.0,-20.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,LAGO DEL DESIERTO I,3713,12,2007,0.0,2005,0.0,-70.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2007 image provided by Google Earth,
AR,LAGO DEL DESIERTO II,3714,13,1645,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; ecesis correction
AR,LAGO DEL DESIERTO II,3714,13,1743,10.0,1645,30.0,-40.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MAXIMUM DATE estimated from death date of in situ tree buried by a lateral moraine; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO II,3714,13,1900,20.0,1743,10.0,-400.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO II,3714,13,1936,20.0,1900,20.0,-90.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO II,3714,13,1964,20.0,1936,20.0,-140.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO II,3714,13,1984,0.0,1964,20.0,-220.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,LAGO DEL DESIERTO II,3714,13,2005,0.0,1984,0.0,-70.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,LAGO DEL DESIERTO II,3714,13,2007,0.0,2005,0.0,-60.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2007 image provided by Google Earth,
AR,LAGO DEL DESIERTO III,3715,14,1655,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; ecesis correction
AR,LAGO DEL DESIERTO III,3715,14,1734,30.0,1655,30.0,-80.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO III,3715,14,1867,30.0,1734,30.0,-300.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO III,3715,14,1920,20.0,1867,30.0,-50.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO III,3715,14,1945,20.0,1920,20.0,-450.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,LAGO DEL DESIERTO III,3715,14,1984,0.0,1945,20.0,-230.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,LAGO DEL DESIERTO III,3715,14,2005,0.0,1984,0.0,-30.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,LAGO DEL DESIERTO III,3715,14,2007,0.0,2005,0.0,-110.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2007 image provided by Google Earth,
AR,NARVAEZ GRANDE,3799,15,1896,0.0,,,,+X,,,,,,,PHO,Glacier front position based on 1896 field photo published in Hatcher (1903),
AR,NARVAEZ GRANDE,3799,15,1968,0.0,1896,0.0,-3350.0,,15.0,20.0,,,,,PHO,Glacier front position identified in 1968 air photo,
AR,NARVAEZ GRANDE,3799,15,1981,0.0,1968,0.0,-300.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1981 air photo,
AR,NARVAEZ GRANDE,3799,15,1984,0.0,1981,0.0,-150.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,NARVAEZ GRANDE,3799,15,2002,0.0,1984,0.0,-180.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2002 Landsat image,
AR,NARVAEZ GRANDE,3799,15,2008,0.0,2002,0.0,0.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2008 image provided by Google Earth,
AR,PIEDRAS BLANCAS,3716,16,1610,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; ecesis correction
AR,PIEDRAS BLANCAS,3716,16,1744,30.0,1610,30.0,-130.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines and outwash channel; ecesis correction; see Masiokas et al. (2009)
AR,PIEDRAS BLANCAS,3716,16,1899,30.0,1744,30.0,-50.0,,15.0,15.0,,,,MME,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Estimated from dates of adjacent moraines",
AR,PIEDRAS BLANCAS,3716,16,1931,0.0,1899,30.0,-520.0,,15.0,15.0,,,,,PHO,Glacier front position based on 1931 field photo published in De Agostini (1945); see Masiokas et al. (2009).,
AR,PIEDRAS BLANCAS,3716,16,1952,0.0,1931,0.0,-100.0,,15.0,15.0,,,,,PHO,Glacier front position based on 1931 field photo published in Lliboutry (1953); see Masiokas et al. (2009).,
AR,PIEDRAS BLANCAS,3716,16,1968,0.0,1952,0.0,-140.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1968 air photo,
AR,PIEDRAS BLANCAS,3716,16,1981,0.0,1968,0.0,140.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1981 air photo,
AR,PIEDRAS BLANCAS,3716,16,1984,0.0,1981,0.0,-10.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,PIEDRAS BLANCAS,3716,16,2005,0.0,1984,0.0,-510.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,PIEDRAS BLANCAS,3716,16,2007,0.0,2005,0.0,-50.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2007 image provided by Google Earth,
AR,SAN LORENZO SUR,3798,17,1665,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; no ecesis correction
AR,SAN LORENZO SUR,3798,17,1769,30.0,1665,30.0,-240.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; no ecesis correction
AR,SAN LORENZO SUR,3798,17,1819,30.0,1769,30.0,-570.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; no ecesis correction
AR,SAN LORENZO SUR,3798,17,1958,0.0,1819,30.0,-1190.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1958 air photo,
AR,SAN LORENZO SUR,3798,17,1969,0.0,1958,0.0,-90.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1969 air photo,
AR,SAN LORENZO SUR,3798,17,1981,0.0,1969,0.0,-390.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1981 air photo,
AR,SAN LORENZO SUR,3798,17,1984,0.0,1981,0.0,-40.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,SAN LORENZO SUR,3798,17,2000,0.0,1984,0.0,-1000.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2000 Landsat image,
AR,SAN LORENZO SUR,3798,17,2002,0.0,2000,0.0,-190.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2002 Landsat image,
AR,SAN LORENZO SUR,3798,17,2004,0.0,2002,0.0,-160.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2004 ASTER image,
AR,SAN LORENZO SUR,3798,17,2008,0.0,2004,0.0,-200.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2008 image provided by Google Earth,
AR,TORRE,3717,18,1594,30.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",YEAR: Estimated from age of trees growing on moraines; ecesis correction
AR,TORRE,3717,18,1727,30.0,1594,30.0,-210.0,,15.0,15.0,,,,MME,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,TORRE,3717,18,1799,30.0,1727,30.0,-120.0,,15.0,15.0,,,,MME,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,TORRE,3717,18,1866,30.0,1799,30.0,-40.0,,15.0,15.0,,,,MME,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines; ecesis correction; see Masiokas et al. (2009)
AR,TORRE,3717,18,1900,30.0,1866,30.0,-60.0,,15.0,15.0,,,,,COM,"Mapping: Field surveys, analyses of air photos and aerial imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on outwash channel; ecesis correction; see Masiokas et al. (2009)
AR,TORRE,3717,18,1931,0.0,1900,30.0,-1760.0,,15.0,15.0,,,,,PHO,Glacier front position based on 1931 field photo published in De Agostini (1945); see Masiokas et al. (2009).,
AR,TORRE,3717,18,1968,0.0,1931,0.0,-50.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1968 air photo,
AR,TORRE,3717,18,1984,0.0,1968,0.0,110.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1984 Landsat image,
AR,TORRE,3717,18,2005,0.0,1984,0.0,-170.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,TORRE,3717,18,2007,0.0,2005,0.0,-70.0,,10.0,15.0,,,,,OTH,Glacier front position identified in 2007 image provided by Google Earth,
AT,OEDENWINKEL K.,559,37,1890,,1850,,-402.0,,10.0,10.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1929,,1890,,-157.0,,10.0,10.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1934,,1929,,-40.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1969,,1934,,-457.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1977,,1969,,-53.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1985,,1977,,-195.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1988,,1985,,-18.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1992,,1988,,-11.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,1998,,1992,,-7.0,,5.0,5.0,,,,,,,
AT,OEDENWINKEL K.,559,37,2008,,1998,,-61.0,,1.0,1.0,,,,,,,
AT,OEDENWINKEL K.,559,37,2013,,2008,,0.0,,1.0,1.0,,,,,,,
BO,CHARQUINI NORTE,3718,19,1706,,1663,,-47.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1740,,1706,,-79.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1755,,1740,,-130.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1769,,1755,,-62.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1794,,1769,,-31.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1817,,1794,,-38.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1847,,1817,,-18.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1870,,1847,,-56.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1910,,1870,,-344.0,,,,,,,,DEN,,
BO,CHARQUINI NORTE,3718,19,1940,,1910,,-195.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI NORTE,3718,19,1956,,1940,,-250.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI NORTE,3718,19,1963,,1956,,-30.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI NORTE,3718,19,1974,,1963,,-35.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI NORTE,3718,19,1983,,1974,,-30.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI NORTE,3718,19,1997,,1983,,-70.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1700,,1663,,-21.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1739,,1700,,-119.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1755,,1739,,-57.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1763,,1755,,-49.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1791,,1763,,-88.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1815,,1791,,-201.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1852,,1815,,-21.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1873,,1852,,-59.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1907,,1873,,-102.0,,,,,,,,DEN,,
BO,CHARQUINI OESTE,3719,20,1940,,1907,,-79.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1956,,1940,,-42.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1963,,1956,,-17.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1974,,1963,,-45.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1983,,1974,,-22.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI OESTE,3719,20,1997,,1983,,-28.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1703,,1686,,-65.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1734,,1703,,-21.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1765,,1734,,-63.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1808,,1765,,-106.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1825,,1808,,-79.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1843,,1825,,-46.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1871,,1843,,-110.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1912,,1871,,-123.0,,,,,,,,DEN,,
BO,CHARQUINI SUR,2667,21,1940,,1912,,-26.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1956,,1940,,-12.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1963,,1956,,-43.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1974,,1963,,-49.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1983,,1974,,-80.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SUR,2667,21,1997,,1983,,-177.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1736,,1664,,-95.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1755,,1736,,-49.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1792,,1755,,-153.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1849,,1792,,-38.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1868,,1849,,-26.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1909,,1868,,-282.0,,,,,,,,DEN,,
BO,CHARQUINI SURESTE,3720,22,1940,,1909,,-196.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1956,,1940,,-17.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1963,,1956,,-37.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1974,,1963,,-21.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1983,,1974,,-45.0,,,,,,,,OTH,direct measurement,
BO,CHARQUINI SURESTE,3720,22,1997,,1983,,-87.0,,,,,,,,OTH,direct measurement,
BO,JANKHU UYU,3721,23,1704,,1658,,-24.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1734,,1704,,-35.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1756,,1734,,-75.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1775,,1756,,-13.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1805,,1775,,-12.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1817,,1805,,-111.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1869,,1817,,-265.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1908,,1869,,-127.0,,,,,,,,DEN,,
BO,JANKHU UYU,3721,23,1997,,1908,,-163.0,,,,,,,,OTH,direct measurement,
BO,WILA LLUXITA,3722,24,1703,,1662,,-37.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1732,,1703,,-93.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1755,,1732,,-214.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1775,,1755,,-38.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1800,,1775,,-17.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1818,,1800,,-223.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1849,,1818,,-54.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1870,,1849,,-61.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1909,,1870,,-116.0,,,,,,,,DEN,,
BO,WILA LLUXITA,3722,24,1997,,1909,,-300.0,,,,,,,,OTH,direct measurement,
BO,ZONGO,26615,25,1732,,1680,,-106.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1766,,1732,,-618.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1781,,1766,,-46.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1811,,1781,,-54.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1822,,1811,,-103.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1852,,1822,,-51.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1871,,1852,,-93.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1911,,1871,,-155.0,,,,,,,,DEN,,
BO,ZONGO,26615,25,1956,,1911,,-48.0,,,,,,,,OTH,direct measurement,
BO,ZONGO,26615,25,1983,,1956,,-25.0,,,,,,,,OTH,direct measurement,
